星座,生日时间,运势评分,今日运势
白羊座,3.21-4.19,width:60%,你或许有很多需要与别人沟通或是传达意思的事情，...[
金牛座,4.20-5.20,width:60%,你容易受到怀旧情结的影响，行动也受到感情的牵扯...[
双子座,5.21-6.21,width:40%,你能感觉到自己的情绪很浮躁，会因为一些小小的事...[
巨蟹座,6.22-7.22,width:80%,如果有完善的计划，很适合在当天落实，容易得到贵...[
狮子座,7.23-8.22,width:40%,运势稍显低迷，你的心情不大好，容易碰到一些不顺...[
处女座,8.23-9.22,width:60%,整体运势比较一般，没有惊也没有喜的一天，你会感...[
天秤座,9.23-10.23,width:60%,你能保持平和的心态应对一切，遇到繁琐的事情也能...[
天蝎座,10.24-11.22,width:80%,你会通过一些全新的尝试，而得到意外的收获，又或...[
射手座,11.23-12.21,width:60%,你的运势中规中矩，将会是多劳多得的一天，不能有...[
摩羯座,12.22-1.19,width:60%,运势尚可，就是有些不确定的因素，对你还是存在一...[
水瓶座,1.20-2.18,width:80%,运气棒棒哒，你会感受到来自幸运的关照，在行动上...[
双鱼座,2.19-3.20,width:40%,运势还是处于低迷的状态，你总觉得运气也自己作对...[
